PUMFID,Audio_Streaming,Video_Streaming,HouseholdSize,Age,Martial.Status,Education.Level,Sex,Residence.Area,Precaution,Edu_Services,Reported,Incident,Inform_Services,Loss,OnlineShopping,Social_Media_Use,WFH
6417,Not Applicable,Increase,1,35 to 44 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Increase,No,No,Same,No,Yes,Increase,Yes
6418,Increase,Increase,3,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,Yes,Same,Yes,Yes,Same,No
6419,Same,Same,2,55 to 64 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Male,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6420,Same,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,No
6421,Not Applicable,Not Applicable,2,75 years and older,Widowed/Separated/Divorced,Trade certificate or diploma,Female,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Same,No
6422,Increase,Increase,2,55 to 64 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,Yes,Increase,Yes,Yes,Same,Yes
6423,Not Applicable,Increase,2,65 to 74 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Same,No,No,Increase,No,No,Increase,No
6424,Increase,Increase,1,65 to 74 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
6425,Increase,Increase,2,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
6426,Same,Increase,2,55 to 64 years old,Married,Trade certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6427,Not Applicable,Same,1,55 to 64 years old,Single/Never married,Trade certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
6428,Not Applicable,Increase,1,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Not Applicable,No,No,Increase,Yes
6429,Not Applicable,Same,4,45 to 54 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6430,Increase,Increase,2,45 to 54 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Increase,No,No,Increase,No,Yes,Same,Yes
6431,Not Applicable,Same,1,35 to 44 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,Not More,Increase,No,No,Same,No,Yes,Increase,Yes
6432,Not Applicable,Not Applicable,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,More,Same,Yes,Yes,Same,No,Yes,Same,No
6433,Same,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Same,No,No,Same,No,Yes,Same,Yes
6434,Increase,Increase,1,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Increase,Yes,Yes,Same,No,Yes,Not Applicable,Yes
6435,Not Applicable,Increase,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Increase,No,No,Increase,No,Yes,Decrease,No
6436,Same,Same,1,55 to 64 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Male,Rural,More,Same,No,Yes,Same,No,Yes,Same,No
6437,Increase,Increase,2,25 to 34 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Same,No,Yes,Same,No,Yes,Increase,Yes
6438,Same,Same,1,25 to 34 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
6439,Increase,Same,3,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Not Applicable,No,Yes,Increase,No,Yes,Decrease,Yes
6441,Same,Same,2,45 to 54 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Male,Urban,Not More,Same,No,Yes,Same,No,Yes,Same,No
6442,Increase,Increase,2,55 to 64 years old,Widowed/Separated/Divorced,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,No,Increase,No,Yes,Same,No
6443,Not Applicable,Same,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Same,No
6444,Same,Same,2,75 years and older,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,No,Yes,Increase,No,Yes,Decrease,No
6445,Same,Increase,3,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6446,Same,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Increase,Yes,Yes,Increase,No,Yes,Increase,Yes
6447,Not Applicable,Same,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,No
6448,Not Applicable,Not Applicable,1,65 to 74 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Rural,More,Not Applicable,No,No,Increase,No,No,Increase,No
6449,Not Applicable,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6450,Increase,Increase,3,35 to 44 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,No,No,Increase,No,Yes,Increase,No
6453,Increase,Same,1,35 to 44 years old,Single/Never married,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Increase,No,Yes,Same,No,Yes,Same,No
6454,Increase,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6455,Not Applicable,Not Applicable,1,55 to 64 years old,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,More,Not Applicable,Yes,Yes,Same,Yes,Yes,Not Applicable,No
6456,Same,Not Applicable,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,Not More,Not Applicable,No,No,Same,No,No,Same,No
6459,Same,Increase,2,35 to 44 years old,Living common-law,High school diploma or a high school equivalency certificate,Male,Urban,More,Not Applicable,No,Yes,Same,No,Yes,Increase,No
6460,Same,Same,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Urban,More,Increase,No,Yes,Same,No,Yes,Increase,Yes
6461,Same,Same,2,35 to 44 years old,Married,High school diploma or a high school equivalency certificate,Female,Rural,Not More,Increase,No,No,Same,No,No,Same,No
6462,Increase,Increase,2,25 to 34 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6463,Decrease,Same,1,35 to 44 years old,Single/Never married,Trade certificate or diploma,Male,Urban,More,Increase,No,Yes,Increase,No,Yes,Increase,No
6464,Same,Increase,1,25 to 34 years old,Single/Never married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Same,No,No,Same,No,Yes,Same,Yes
6465,Same,Increase,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,No,No,Increase,No,Yes,Increase,No
6466,Increase,Same,3,35 to 44 years old,Married,Trade certificate or diploma,Female,Rural,More,Not Applicable,Yes,Yes,Increase,No,Yes,Increase,No
6467,Same,Increase,2,55 to 64 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,No,Same,No,No,Increase,No
6468,Increase,Increase,1,45 to 54 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Same,No,Yes,Same,Yes,Yes,Same,Yes
6469,Not Applicable,Same,2,45 to 54 years old,Widowed/Separated/Divorced,Trade certificate or diploma,Male,Urban,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,No
6470,Same,Increase,1,65 to 74 years old,Single/Never married,"University certificate, diploma, degree above the BA level",Female,Urban,Not More,Same,No,Yes,Increase,No,Yes,Same,No
6471,Increase,Increase,3,15 to 24 years old,Single/Never married,Less than high school diploma or its equivalent,Female,Urban,More,Increase,Yes,Yes,Increase,Yes,Yes,Increase,No
6472,Same,Not Applicable,2,65 to 74 years old,Married,Less than high school diploma or its equivalent,Male,Urban,Not More,Not Applicable,No,No,Not Applicable,No,Yes,Same,No
6474,Not Applicable,Not Applicable,2,75 years and older,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Not Applicable,No,No,Not Applicable,No
6475,Not Applicable,Same,2,65 to 74 years old,Married,"University certificate, diploma, degree above the BA level",Male,Rural,More,Same,No,No,Same,No,Yes,Not Applicable,No
6476,Not Applicable,Same,2,65 to 74 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6477,Same,Same,2,25 to 34 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Increase,Yes
6478,Same,Increase,2,65 to 74 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,No
6479,Not Applicable,Same,1,65 to 74 years old,Widowed/Separated/Divorced,Less than high school diploma or its equivalent,Male,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Not Applicable,No
6480,Increase,Increase,2,45 to 54 years old,Married,"University certificate, diploma, degree above the BA level",Female,Urban,More,Increase,No,Yes,Same,No,Yes,Increase,Yes
6481,Not Applicable,Not Applicable,3,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Not Applicable,No
6482,Same,Same,3,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Same,No,No,Increase,No,Yes,Same,No
6483,Same,Same,2,25 to 34 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Same,No,Yes,Same,No,Yes,Same,No
6485,Same,Same,1,45 to 54 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,Not More,Not Applicable,No,Yes,Same,No,Yes,Not Applicable,No
6486,Increase,Same,2,65 to 74 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,More,Not Applicable,No,Yes,Increase,No,Yes,Increase,Yes
6487,Same,Same,2,45 to 54 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,No,Same,No
6488,Not Applicable,Same,1,75 years and older,Widowed/Separated/Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,Not More,Not Applicable,No,No,Not Applicable,No,Yes,Same,No
6490,Not Applicable,Increase,2,75 years and older,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Urban,More,Not Applicable,No,No,Same,No,Yes,Increase,No
6492,Not Applicable,Same,2,55 to 64 years old,Married,University certificate or diploma below the bachelor’s level,Female,Urban,Not More,Same,Yes,Yes,Same,No,Yes,Increase,No
6493,Not Applicable,Increase,1,25 to 34 years old,Single/Never married,College/CEGEP/other non-university certificate or diploma,Female,Urban,More,Not Applicable,Yes,Yes,Same,Yes,Yes,Increase,Yes
6494,Not Applicable,Not Applicable,2,65 to 74 years old,Married,High school diploma or a high school equivalency certificate,Male,Urban,Not More,Not Applicable,Yes,Yes,Not Applicable,No,No,Same,No
6496,Same,Same,4,55 to 64 years old,Married,Trade certificate or diploma,Female,Urban,More,Same,Yes,Yes,Increase,Yes,Yes,Same,No
6497,Decrease,Decrease,2,55 to 64 years old,Living common-law,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,Yes,Same,Yes,Yes,Decrease,No
6498,Not Applicable,Same,2,55 to 64 years old,Married,College/CEGEP/other non-university certificate or diploma,Female,Urban,Not More,Not Applicable,No,No,Same,No,Yes,Same,Yes
6499,Increase,Increase,2,25 to 34 years old,Single/Never married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Rural,Not More,Increase,Yes,Yes,Increase,No,Yes,Same,Yes
6500,Not Applicable,Not Applicable,1,65 to 74 years old,Widowed/Separated/Divorced,High school diploma or a high school equivalency certificate,Female,Urban,More,Not Applicable,No,No,Not Applicable,No,Yes,Not Applicable,No
6501,Same,Same,2,55 to 64 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,More,Same,Yes,Yes,Increase,Yes,Yes,Same,Yes
6502,Not Applicable,Increase,2,45 to 54 years old,Living common-law,College/CEGEP/other non-university certificate or diploma,Male,Urban,Not More,Same,No,No,Same,No,Yes,Increase,Yes
6503,Same,Same,2,55 to 64 years old,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Male,Rural,Not More,Same,No,Yes,Same,No,No,Same,Yes
6504,Same,Same,2,75 years and older,Married,College/CEGEP/other non-university certificate or diploma,Female,Rural,Not More,Not Applicable,No,No,Same,No,Yes,Same,No
6505,Increase,Increase,3,45 to 54 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Same,No,Yes,Same,No,Yes,Increase,Yes
6506,Same,Increase,1,35 to 44 years old,Widowed/Separated/Divorced,"University certificate, diploma, degree above the BA level",Female,Urban,More,Increase,No,No,Increase,No,Yes,Increase,Yes
6507,Same,Same,2,25 to 34 years old,Married,"University certificate, diploma, degree above the BA level",Male,Urban,Not More,Same,No,Yes,Same,No,Yes,Same,Yes
6508,Not Applicable,Not Applicable,2,65 to 74 years old,Married,Trade certificate or diploma,Female,Rural,More,Not Applicable,No,No,Not Applicable,No,Yes,Not Applicable,No
6509,Same,Same,2,35 to 44 years old,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Female,Urban,Not More,Not Applicable,Yes,Yes,Same,No,Yes,Same,No
